street,coordinates
Ахтырская улица,"[(55.9305149, 54.7404513), (55.9306224, 54.740615), (55.9308911, 54.7408876), (55.9309253, 54.7412415), (55.9308807, 54.7413246), (55.9308403, 54.7414125)]"
Трактовая улица,"[(55.9181267, 54.7329141), (55.9180305, 54.7332012), (55.9184242, 54.7337538)]"
Трактовая улица,"[(55.9181267, 54.7329141), (55.9181507, 54.7328425), (55.9180626, 54.7324982), (55.9179728, 54.7322921), (55.9178236, 54.7320971), (55.9177935, 54.73205), (55.9175992, 54.7317452), (55.9174267, 54.7314766), (55.9173729, 54.7312618)]"
Лесопильная улица,"[(55.9181267, 54.7329141), (55.9183569, 54.7330587), (55.918669, 54.7333457), (55.9188684, 54.733392), (55.9190855, 54.7333301)]"
улица Запотоцкого,"[(55.9486775, 54.7457365), (55.9481293, 54.7448994), (55.9482199, 54.7448373)]"
Лесопильная улица,"[(55.9197321, 54.7330334), (55.9194832, 54.7330621), (55.9193917, 54.7331725), (55.9191611, 54.7333063), (55.9190855, 54.7333301)]"
Лесопильная улица,"[(55.9197321, 54.7330334), (55.9200378, 54.73298), (55.9203581, 54.7328972), (55.9208948, 54.7326217)]"
Ахтырская улица,"[(55.9197321, 54.7330334), (55.919875, 54.7331917), (55.9201887, 54.7335553), (55.9203301, 54.7339068), (55.9205753, 54.7343115), (55.920604, 54.7345031)]"
улица Галановой,"[(55.9217797, 54.730029), (55.9216195, 54.72974), (55.9214216, 54.7294276)]"
Обрывная улица,"[(55.9424556, 54.7430382), (55.9418706, 54.742091)]"
,"[(55.9410591, 54.7445862), (55.9413765, 54.7444839), (55.9416237, 54.7443697), (55.9418216, 54.7443578), (55.9422461, 54.7444625), (55.9430291, 54.744767), (55.944106, 54.7449734), (55.9445128, 54.7452178), (55.9450104, 54.7449241)]"
,"[(55.9410591, 54.7445862), (55.940309, 54.7443649), (55.9399587, 54.7443102), (55.9392457, 54.7441413), (55.9378078, 54.7436849), (55.9373375, 54.7436441), (55.9371232, 54.7435537), (55.9371149, 54.743273), (55.936676, 54.7430626)]"
,"[(55.9410591, 54.7445862), (55.9412408, 54.744737), (55.9426239, 54.7452154), (55.9425583, 54.7452822)]"
улица Петра Комлева,"[(55.9230614, 54.7313521), (55.9230642, 54.7315821)]"
Сенная улица,"[(55.9230614, 54.7313521), (55.923502, 54.7311909), (55.9241556, 54.7308109)]"
улица Петра Комлева,"[(55.9230614, 54.7313521), (55.9229481, 54.73128), (55.9228223, 54.7311319)]"
Токарная улица,"[(55.9345999, 54.7386899), (55.9343597, 54.7386196), (55.9336718, 54.7384337), (55.9335445, 54.7382441)]"
улица Ущелье,"[(55.926125, 54.737055), (55.9263409, 54.7361833)]"
улица Леваневского,"[(55.926125, 54.737055), (55.9258519, 54.7369898), (55.9255108, 54.7367955), (55.9247589, 54.7364069), (55.9244731, 54.7359975), (55.9240567, 54.735672), (55.923782, 54.7352549)]"
улица Ущелье,"[(55.926125, 54.737055), (55.9260516, 54.7373385), (55.9259242, 54.737616), (55.9258215, 54.7377092), (55.9256939, 54.737825)]"
"['Деповская улица', 'Проломная улица']","[(55.9412347, 54.7439923), (55.9416298, 54.7437976), (55.9421455, 54.7437142), (55.9427334, 54.7435862), (55.9434128, 54.743397), (55.9439864, 54.7432707), (55.9430644, 54.7418231)]"
Тендерная улица,"[(55.9380573, 54.7395846), (55.9389119, 54.7394171)]"
Тендерная улица,"[(55.9380573, 54.7395846), (55.9353934, 54.7400523)]"
улица Зенцова,"[(55.9380573, 54.7395846), (55.9381727, 54.7398816)]"
улица Зенцова,"[(55.9380573, 54.7395846), (55.9377802, 54.7390949), (55.9377239, 54.7389066), (55.9377015, 54.7388347)]"
Бондарная улица,"[(55.9401507, 54.7385857), (55.9400106, 54.738606), (55.9397884, 54.7386015), (55.9396775, 54.7385844), (55.9396408, 54.7385775), (55.9395125, 54.7385533)]"
Бондарная улица,"[(55.9401507, 54.7385857), (55.94335, 54.7380682), (55.9434371, 54.7380563)]"
Обрывная улица,"[(55.9401507, 54.7385857), (55.9403565, 54.738912), (55.9403292, 54.7390861), (55.9403173, 54.739227), (55.9403735, 54.7394464), (55.9404332, 54.7397037)]"
Беломорская улица,"[(55.9295949, 54.7391941), (55.929968, 54.7387262), (55.930771, 54.7376392)]"
улица Гузакова,"[(55.9295949, 54.7391941), (55.9297053, 54.7392674), (55.930122, 54.7395445), (55.9304355, 54.7396699)]"
"['Литейная улица', 'улица Гузакова']","[(55.9295949, 54.7391941), (55.929117, 54.7390718), (55.9287772, 54.7389206), (55.9286113, 54.7388258), (55.9285762, 54.7387153), (55.928696, 54.738508)]"
улица Степана Разина,"[(55.9206632, 54.7200753), (55.9209523, 54.7206665), (55.9213538, 54.7214941)]"
Слесарная улица,"[(55.9335722, 54.7407704), (55.9336576, 54.740723), (55.9337232, 54.7407131), (55.9337985, 54.7407239), (55.9344676, 54.7409298), (55.9345493, 54.7409256), (55.9352741, 54.7401023), (55.9353934, 54.7400523)]"
улица Дзержинского,"[(55.9335722, 54.7407704), (55.933402, 54.7408069), (55.9332868, 54.7408706), (55.9332168, 54.7409323), (55.9331936, 54.7409648), (55.9331736, 54.7410128), (55.9331716, 54.7410751), (55.9331844, 54.7411349), (55.9332179, 54.7411893)]"
улица Дзержинского,"[(55.9335722, 54.7407704), (55.9337613, 54.7407952), (55.934265, 54.7409782), (55.9346245, 54.7410827), (55.9348303, 54.7411216), (55.9350092, 54.7411352), (55.9351869, 54.7411376), (55.9353781, 54.7411161), (55.9356489, 54.7410577), (55.9365014, 54.7406903), (55.9369593, 54.7405388), (55.9371759, 54.7404973), (55.9378151, 54.7403749), (55.9379163, 54.7403555), (55.9381509, 54.7402807), (55.9383909, 54.7401849), (55.9385701, 54.7400526), (55.9386549, 54.7399892)]"
улица Галановой,"[(55.9209203, 54.7286266), (55.9214216, 54.7294276)]"
улица Свердлова,"[(55.9209203, 54.7286266), (55.9219477, 54.7284385)]"
улица Галановой,"[(55.9209203, 54.7286266), (55.9208759, 54.7284672), (55.9204492, 54.7279341)]"
улица Свердлова,"[(55.9209203, 54.7286266), (55.9204753, 54.7289466), (55.9197144, 54.7296469), (55.9196757, 54.729805), (55.9195091, 54.7299473), (55.9188934, 54.7308172), (55.9185543, 54.7310142)]"
"['Лесная улица', 'улица Гузакова']","[(55.9322263, 54.7380186), (55.9321247, 54.7382397), (55.9312071, 54.7395402), (55.9314977, 54.7396884), (55.9318417, 54.7398247), (55.9323619, 54.7399258)]"
Токарная улица,"[(55.9322263, 54.7380186), (55.9323338, 54.7380326), (55.9331153, 54.7382439), (55.9333275, 54.738262), (55.9335445, 54.7382441)]"
Токарная улица,"[(55.9322263, 54.7380186), (55.9309995, 54.737683), (55.930771, 54.7376392)]"
Лесопильная улица,"[(55.9208948, 54.7326217), (55.9203581, 54.7328972), (55.9200378, 54.73298), (55.9197321, 54.7330334)]"
Лесопильная улица,"[(55.9208948, 54.7326217), (55.9213201, 54.7324849), (55.9221139, 54.7323736)]"
улица Котовского,"[(55.9208948, 54.7326217), (55.920997, 54.7327541), (55.921089, 54.7330325), (55.9212843, 54.7334748), (55.9213566, 54.7336698), (55.9214562, 54.7338258), (55.9214917, 54.7338936), (55.9215266, 54.7339734), (55.9215707, 54.7340801)]"
"['Яровая улица', 'улица Лазовского']","[(55.939711, 54.7398669), (55.9396619, 54.7403391), (55.9395412, 54.7406119), (55.9393059, 54.7410171), (55.9391791, 54.7413257), (55.9390914, 54.7414596), (55.9384278, 54.7417045), (55.9382585, 54.7418534), (55.9372254, 54.7423006)]"
Токарная улица,"[(55.9335445, 54.7382441), (55.9336718, 54.7384337), (55.9343597, 54.7386196), (55.9345999, 54.7386899)]"
Токарная улица,"[(55.9335445, 54.7382441), (55.9333275, 54.738262), (55.9331153, 54.7382439), (55.9323338, 54.7380326), (55.9322263, 54.7380186)]"
"['Вагонная улица', 'улица Гафури']","[(55.9335445, 54.7382441), (55.9338421, 54.7379238), (55.9338628, 54.7377971), (55.9335886, 54.7371863), (55.9334715, 54.7369256), (55.9333426, 54.7366382), (55.9331724, 54.7362999)]"
Вагонная улица,"[(55.9335445, 54.7382441), (55.9334661, 54.7383632), (55.9333787, 54.7384982), (55.9333203, 54.7385769), (55.9329163, 54.7391396), (55.9325943, 54.7396167), (55.9323619, 54.7399258)]"
Тендерная улица,"[(55.9353934, 54.7400523), (55.9380573, 54.7395846)]"
"['Слесарная улица', 'Токарная улица']","[(55.9353934, 54.7400523), (55.9354901, 54.739848), (55.9357072, 54.7395706), (55.9358677, 54.7393122), (55.93591, 54.7392601), (55.9359586, 54.739226), (55.9365392, 54.7390802), (55.9367462, 54.7390379), (55.9376088, 54.7388528), (55.9377015, 54.7388347)]"
Слесарная улица,"[(55.9353934, 54.7400523), (55.9352741, 54.7401023), (55.9345493, 54.7409256), (55.9344676, 54.7409298), (55.9337985, 54.7407239), (55.9337232, 54.7407131), (55.9336576, 54.740723), (55.9335722, 54.7407704)]"
"['улица Достоевского', 'Литейная улица']","[(55.9290308, 54.7361053), (55.9296386, 54.7362549), (55.9297498, 54.7362489), (55.9300534, 54.7366481), (55.92989, 54.7368866), (55.9295895, 54.737224)]"
улица Достоевского,"[(55.9290308, 54.7361053), (55.9282948, 54.7358941), (55.9282519, 54.7357933), (55.9283004, 54.7356225)]"
Столярная улица,"[(55.9290308, 54.7361053), (55.9286574, 54.7364748), (55.928445, 54.7369778)]"
Столярная улица,"[(55.9290308, 54.7361053), (55.9292243, 54.7358734), (55.9293872, 54.7356587), (55.92926, 54.7353832), (55.9293128, 54.7351933), (55.9294378, 54.7350926)]"
,"[(55.940667, 54.7435231), (55.9404978, 54.743545), (55.9402739, 54.7435241), (55.9397555, 54.7434018), (55.9395218, 54.7433055), (55.9394269, 54.7432371)]"
улица Морякова,"[(55.9330559, 54.7412725), (55.9332179, 54.7411893)]"
,"[(55.9330559, 54.7412725), (55.932437, 54.7413432)]"
улица Морякова,"[(55.9330559, 54.7412725), (55.9331094, 54.7413142), (55.9334837, 54.741606), (55.9340706, 54.7419996), (55.9343964, 54.7422325), (55.9349444, 54.7427394), (55.9351503, 54.7429351)]"
улица Достоевского,"[(55.9283004, 54.7356225), (55.9282519, 54.7357933), (55.9282948, 54.7358941), (55.9290308, 54.7361053)]"
Народная улица,"[(55.9283004, 54.7356225), (55.928152, 54.7357074), (55.9274255, 54.7366348)]"
Народная улица,"[(55.9283004, 54.7356225), (55.9289303, 54.7350112), (55.9292728, 54.7346905)]"
улица Котовского,"[(55.9185543, 54.7310142), (55.9194531, 54.7314502)]"
улица Свердлова,"[(55.9185543, 54.7310142), (55.9184868, 54.731013), (55.9184328, 54.7310298), (55.9181971, 54.7312131), (55.9179655, 54.731434)]"
улица Свердлова,"[(55.9185543, 54.7310142), (55.9188934, 54.7308172), (55.9195091, 54.7299473), (55.9196757, 54.729805), (55.9197144, 54.7296469), (55.9204753, 54.7289466), (55.9209203, 54.7286266)]"
"['Ломовой переулок', 'улица Котовского']","[(55.9214597, 54.7308919), (55.9211013, 54.7311211), (55.9206677, 54.7315117), (55.9203806, 54.7317813), (55.9194531, 54.7314502)]"
Столярная улица,"[(55.9294378, 54.7350926), (55.9293128, 54.7351933), (55.92926, 54.7353832), (55.9293872, 54.7356587), (55.9292243, 54.7358734), (55.9290308, 54.7361053)]"
Деповская улица,"[(55.945538, 54.7433723), (55.9468739, 54.7430513)]"
Деповская улица,"[(55.945538, 54.7433723), (55.9447486, 54.7435433), (55.9446044, 54.7436408), (55.9447848, 54.7438684)]"
Лагерная улица,"[(55.945538, 54.7433723), (55.9460149, 54.7439851), (55.9461313, 54.7440145), (55.9463285, 54.7441145), (55.9465257, 54.7443376), (55.9466002, 54.7444654)]"
улица Морякова,"[(55.9351503, 54.7429351), (55.9349444, 54.7427394), (55.9343964, 54.7422325), (55.9340706, 54.7419996), (55.9334837, 54.741606), (55.9331094, 54.7413142), (55.9330559, 54.7412725)]"
Песчаная улица,"[(55.9351503, 54.7429351), (55.9353631, 54.7427202), (55.9360924, 54.7420524), (55.9362624, 54.7419458), (55.9366234, 54.7418513)]"
Песчаная улица,"[(55.9351503, 54.7429351), (55.9347396, 54.7432667), (55.9346804, 54.7433192)]"
улица Бориса Домашникова,"[(55.9406295, 54.7425101), (55.9409439, 54.7424076), (55.9410787, 54.742294), (55.9418706, 54.742091)]"
улица Зенцова,"[(55.9381727, 54.7398816), (55.9380573, 54.7395846)]"
Лесопильная улица,"[(55.9221139, 54.7323736), (55.9213201, 54.7324849), (55.9208948, 54.7326217)]"
Лесопильная улица,"[(55.9221139, 54.7323736), (55.9224402, 54.7322313), (55.922815, 54.7321203), (55.9231916, 54.7319708), (55.9237287, 54.7317452), (55.923876, 54.7317119), (55.9242446, 54.7316546), (55.9244968, 54.7316873), (55.9245994, 54.7317945)]"
улица Леваневского,"[(55.9221139, 54.7323736), (55.9222466, 54.7325381), (55.9223445, 54.7326693), (55.9224071, 54.7327777), (55.9224321, 54.7329207), (55.9224496, 54.7330118), (55.9224972, 54.7330927)]"
улица Запотоцкого,"[(55.9468739, 54.7430513), (55.9479555, 54.7446384)]"
Деповская улица,"[(55.9468739, 54.7430513), (55.945538, 54.7433723)]"
улица Запотоцкого,"[(55.9468739, 54.7430513), (55.9462761, 54.7421599), (55.9456875, 54.7412394)]"
улица Ущелье,"[(55.9256939, 54.737825), (55.925313, 54.7379898), (55.9252259, 54.7380507)]"
улица Ущелье,"[(55.9256939, 54.737825), (55.9258215, 54.7377092), (55.9259242, 54.737616), (55.9260516, 54.7373385), (55.926125, 54.737055)]"
,"[(55.9256939, 54.737825), (55.9252247, 54.7378571), (55.9248178, 54.7378338)]"
Гончарная улица,"[(55.9245563, 54.7316066), (55.9244157, 54.7313414)]"
Гончарная улица,"[(55.9245563, 54.7316066), (55.9245994, 54.7317945)]"
Лесопильная улица,"[(55.9245563, 54.7316066), (55.9246345, 54.7315574), (55.9251158, 54.7314607)]"
Пятигорская улица,"[(55.922365, 54.721333), (55.9213538, 54.7214941)]"
Водопроводная улица,"[(55.922365, 54.721333), (55.9221647, 54.7209973), (55.9219162, 54.720616), (55.9217373, 54.7203414), (55.9215301, 54.7198692)]"
Пятигорская улица,"[(55.922365, 54.721333), (55.9233578, 54.7211528), (55.9252414, 54.7208521), (55.9256899, 54.7207886), (55.9261925, 54.7217432), (55.9262089, 54.721877), (55.9264246, 54.7223332), (55.9266531, 54.7227348)]"
Водопроводная улица,"[(55.922365, 54.721333), (55.9226515, 54.7218725), (55.9231273, 54.7221173), (55.9231486, 54.7221808)]"
Ахтырская улица,"[(55.920604, 54.7345031), (55.9207112, 54.7345833)]"
Ахтырская улица,"[(55.920604, 54.7345031), (55.9205753, 54.7343115), (55.9203301, 54.7339068), (55.9201887, 54.7335553), (55.919875, 54.7331917), (55.9197321, 54.7330334)]"
Ахтырская улица,"[(55.920604, 54.7345031), (55.9202748, 54.7343589), (55.9199203, 54.7341107), (55.9196134, 54.733822), (55.9192491, 54.7334815), (55.9190855, 54.7333301)]"
улица Бориса Домашникова,"[(55.9418706, 54.742091), (55.9430644, 54.7418231)]"
Обрывная улица,"[(55.9418706, 54.742091), (55.9424556, 54.7430382)]"
улица Бориса Домашникова,"[(55.9418706, 54.742091), (55.9410787, 54.742294), (55.9409439, 54.7424076), (55.9406295, 54.7425101)]"
Песчаная улица,"[(55.9346804, 54.7433192), (55.9347396, 54.7432667), (55.9351503, 54.7429351)]"
Вагонная улица,"[(55.9346804, 54.7433192), (55.9349366, 54.7434331), (55.9349885, 54.7434558), (55.9350383, 54.7434721), (55.935342, 54.7435881)]"
Вагонная улица,"[(55.9346804, 54.7433192), (55.9333792, 54.7427335), (55.9326963, 54.7424506), (55.9320745, 54.7421189), (55.9317039, 54.7418358), (55.9311767, 54.7414536)]"
Беломорская улица,"[(55.930771, 54.7376392), (55.929968, 54.7387262), (55.9295949, 54.7391941)]"
Беломорская улица,"[(55.930771, 54.7376392), (55.9308843, 54.7373874), (55.9311739, 54.7370821)]"
Токарная улица,"[(55.930771, 54.7376392), (55.9309995, 54.737683), (55.9322263, 54.7380186)]"
Токарная улица,"[(55.930771, 54.7376392), (55.9306411, 54.7375745), (55.9299499, 54.7373602), (55.9295895, 54.737224)]"
Лесопильная улица,"[(55.9190855, 54.7333301), (55.9188684, 54.733392), (55.918669, 54.7333457), (55.9183569, 54.7330587), (55.9181267, 54.7329141)]"
Лесопильная улица,"[(55.9190855, 54.7333301), (55.9191611, 54.7333063), (55.9193917, 54.7331725), (55.9194832, 54.7330621), (55.9197321, 54.7330334)]"
Ахтырская улица,"[(55.9190855, 54.7333301), (55.9192491, 54.7334815), (55.9196134, 54.733822), (55.9199203, 54.7341107), (55.9202748, 54.7343589), (55.920604, 54.7345031)]"
"['Лесная улица', 'улица Гузакова']","[(55.9304355, 54.7396699), (55.9309142, 54.7398401), (55.9309, 54.7398663), (55.930805, 54.7400775), (55.9305149, 54.7404513)]"
Ахтырская улица,"[(55.9304355, 54.7396699), (55.929853, 54.7401203), (55.9304047, 54.7404094), (55.9305149, 54.7404513)]"
улица Гузакова,"[(55.9304355, 54.7396699), (55.930122, 54.7395445), (55.9297053, 54.7392674), (55.9295949, 54.7391941)]"
улица Котовского,"[(55.9194531, 54.7314502), (55.9185543, 54.7310142)]"
"['Ломовой переулок', 'улица Котовского']","[(55.9194531, 54.7314502), (55.9203806, 54.7317813), (55.9206677, 54.7315117), (55.9211013, 54.7311211), (55.9214597, 54.7308919)]"
Слободская улица,"[(55.9194531, 54.7314502), (55.920154, 54.7306854), (55.9211951, 54.7295517), (55.9214216, 54.7294276)]"
Гончарная улица,"[(55.9241556, 54.7308109), (55.9239834, 54.7306762)]"
Гончарная улица,"[(55.9241556, 54.7308109), (55.9242956, 54.7310874)]"
Сенная улица,"[(55.9241556, 54.7308109), (55.923502, 54.7311909), (55.9230614, 54.7313521)]"
Сенная улица,"[(55.9241556, 54.7308109), (55.9244359, 54.7305944), (55.9247481, 54.7303373)]"
Тендерная улица,"[(55.9389119, 54.7394171), (55.9380573, 54.7395846)]"
улица Дзержинского,"[(55.9389119, 54.7394171), (55.9387832, 54.7398063), (55.9386998, 54.7399395), (55.9386549, 54.7399892)]"
улица Дзержинского,"[(55.9389119, 54.7394171), (55.9389819, 54.7391684), (55.9390596, 54.738928), (55.9392328, 54.7387531), (55.9395125, 54.7385533)]"
Столярная улица,"[(55.928445, 54.7369778), (55.9279103, 54.7376712), (55.9276763, 54.7381463), (55.927742, 54.7382107), (55.928696, 54.738508)]"
Столярная улица,"[(55.928445, 54.7369778), (55.9286574, 54.7364748), (55.9290308, 54.7361053)]"
Токарная улица,"[(55.928445, 54.7369778), (55.9293997, 54.737251), (55.9295895, 54.737224)]"
Токарная улица,"[(55.928445, 54.7369778), (55.9280862, 54.7367998), (55.9278462, 54.7367276), (55.9276344, 54.7366863), (55.9274255, 54.7366348)]"
Гончарная улица,"[(55.9245994, 54.7317945), (55.9245563, 54.7316066)]"
Гончарная улица,"[(55.9245994, 54.7317945), (55.9249056, 54.7324783)]"
Лесопильная улица,"[(55.9245994, 54.7317945), (55.9244968, 54.7316873), (55.9242446, 54.7316546), (55.923876, 54.7317119), (55.9237287, 54.7317452), (55.9231916, 54.7319708), (55.922815, 54.7321203), (55.9224402, 54.7322313), (55.9221139, 54.7323736)]"
улица Свердлова,"[(55.9219477, 54.7284385), (55.9209203, 54.7286266)]"
"['Аральская улица', 'улица Свердлова']","[(55.9219477, 54.7284385), (55.9225425, 54.7283136), (55.9236015, 54.7281228), (55.9241154, 54.7280093), (55.9240055, 54.7276349), (55.9238035, 54.7273239), (55.9235862, 54.7272903), (55.9234649, 54.7272122), (55.923372, 54.7271524), (55.9232309, 54.7270124), (55.9231626, 54.7269447)]"
Гаражная улица,"[(55.9219477, 54.7284385), (55.922027, 54.7285846), (55.9223041, 54.7291151)]"
Гаражная улица,"[(55.9219477, 54.7284385), (55.9219275, 54.7284012), (55.921758, 54.7279783), (55.9217018, 54.7277473), (55.9218839, 54.7275567), (55.9221867, 54.7273013)]"
улица Урицкого,"[(55.9231626, 54.7269447), (55.9237152, 54.7265342)]"
улица Урицкого,"[(55.9231626, 54.7269447), (55.922863, 54.7271047), (55.9228101, 54.7271257), (55.9224081, 54.7272493), (55.9221867, 54.7273013)]"
"['Аральская улица', 'улица Свердлова']","[(55.9231626, 54.7269447), (55.9232309, 54.7270124), (55.923372, 54.7271524), (55.9234649, 54.7272122), (55.9235862, 54.7272903), (55.9238035, 54.7273239), (55.9240055, 54.7276349), (55.9241154, 54.7280093), (55.9236015, 54.7281228), (55.9225425, 54.7283136), (55.9219477, 54.7284385)]"
Аральская улица,"[(55.9247851, 54.7290006), (55.9248922, 54.7292905), (55.9251604, 54.7299018)]"
Гаражная улица,"[(55.9221867, 54.7273013), (55.9218839, 54.7275567), (55.9217018, 54.7277473), (55.921758, 54.7279783), (55.9219275, 54.7284012), (55.9219477, 54.7284385)]"
улица Урицкого,"[(55.9221867, 54.7273013), (55.9213949, 54.7275441), (55.9209659, 54.727695), (55.9205566, 54.7278755)]"
улица Урицкого,"[(55.9221867, 54.7273013), (55.9224081, 54.7272493), (55.9228101, 54.7271257), (55.922863, 54.7271047), (55.9231626, 54.7269447)]"
Воронежская улица,"[(55.9060683, 54.7245111), (55.9076524, 54.7247848)]"
Воронежская улица,"[(55.9060683, 54.7245111), (55.9055186, 54.7244117)]"
,"[(55.9060683, 54.7245111), (55.9060429, 54.7245877), (55.9061942, 54.7248011), (55.9063598, 54.7249669), (55.906672, 54.7251579), (55.9069659, 54.725317), (55.9074388, 54.7256617), (55.9076218, 54.7258711)]"
Карьерная улица,"[(55.9081781, 54.726296), (55.9081161, 54.7263173)]"
Перевалочная улица,"[(55.9081781, 54.726296), (55.9082471, 54.7261453), (55.9084544, 54.7259157), (55.9088964, 54.7252529), (55.9090138, 54.7250352)]"
Карьерная улица,"[(55.9081781, 54.726296), (55.9085133, 54.7261927), (55.9090012, 54.726104)]"
,"[(55.9119815, 54.7289221), (55.9118063, 54.7289714), (55.9117939, 54.7291179), (55.9117832, 54.7292811), (55.9117696, 54.7293843)]"
улица Марата,"[(55.9119815, 54.7289221), (55.9126964, 54.7290253), (55.9129133, 54.728997)]"
улица Марата,"[(55.9119815, 54.7289221), (55.9113908, 54.728532), (55.9107397, 54.7279407), (55.9098326, 54.7271965), (55.909186, 54.7265534), (55.9090012, 54.726104)]"
Воронежская улица,"[(55.9021098, 54.723431), (55.9039471, 54.7239537)]"
Воронежская улица,"[(55.9021098, 54.723431), (55.9013153, 54.7237304), (55.9011784, 54.7244838), (55.900977, 54.7251241), (55.9008908, 54.7255345), (55.9007141, 54.7261337), (55.9006557, 54.7263326), (55.9006275, 54.7265409), (55.9006149, 54.7269666), (55.900553, 54.7275299), (55.9006389, 54.728098), (55.9005578, 54.7282541), (55.9004046, 54.7283044), (55.9002906, 54.728377), (55.9003655, 54.7285744), (55.9004829, 54.7287857)]"
,"[(55.9021098, 54.723431), (55.9024274, 54.7232869), (55.9047196, 54.7222384), (55.9051292, 54.7222836), (55.9056636, 54.7222452), (55.9058724, 54.7223617)]"
Гаражная улица,"[(55.922759, 54.7291096), (55.9223041, 54.7291151)]"
"['Гаражная улица', 'Слободская улица']","[(55.922759, 54.7291096), (55.9224724, 54.7292641), (55.922435, 54.7293973), (55.9224887, 54.7295332), (55.9226775, 54.7296408), (55.9226836, 54.7297425), (55.9226275, 54.7298493)]"
Слободская улица,"[(55.922759, 54.7291096), (55.9234475, 54.7289758), (55.9238924, 54.7288115)]"
Карьерная улица,"[(55.9101176, 54.7259337), (55.9090012, 54.726104)]"
"['Воронежская улица', 'улица Нехаева']","[(55.9101176, 54.7259337), (55.9096835, 54.725124), (55.9096417, 54.7251027), (55.9095901, 54.7250764), (55.9090138, 54.7250352)]"
улица Нехаева,"[(55.9101176, 54.7259337), (55.9102763, 54.7259876), (55.9115698, 54.7274911), (55.9126275, 54.7286824)]"
Карьерная улица,"[(55.9028126, 54.7280235), (55.9005634, 54.728763)]"
Карьерная улица,"[(55.9028126, 54.7280235), (55.9051456, 54.7272561)]"
Щепетовская улица,"[(55.9028126, 54.7280235), (55.9027125, 54.7278183), (55.9026758, 54.7274837), (55.9029546, 54.7265644), (55.9030082, 54.726351), (55.9033141, 54.7251579), (55.9033646, 54.7249574), (55.9035195, 54.724569), (55.9039471, 54.7239537)]"
,"[(55.9117696, 54.7293843), (55.9117832, 54.7292811), (55.9117939, 54.7291179), (55.9118063, 54.7289714), (55.9119815, 54.7289221)]"
Зилимская улица,"[(55.9055186, 54.7244117), (55.9056576, 54.7233821)]"
Воронежская улица,"[(55.9055186, 54.7244117), (55.9060683, 54.7245111)]"
Воронежская улица,"[(55.9055186, 54.7244117), (55.9039471, 54.7239537)]"
Зилимская улица,"[(55.9055186, 54.7244117), (55.9054434, 54.7250396), (55.9052928, 54.7263379), (55.9051456, 54.7272561)]"
Окраинная улица,"[(55.9170411, 54.727671), (55.9171791, 54.727914)]"
,"[(55.9076218, 54.7258711), (55.9077095, 54.7255727), (55.9076402, 54.7248872), (55.9076524, 54.7247848)]"
,"[(55.9076218, 54.7258711), (55.9076867, 54.7259454), (55.907875, 54.7261443), (55.9081161, 54.7263173)]"
,"[(55.9076218, 54.7258711), (55.9074388, 54.7256617), (55.9069659, 54.725317), (55.906672, 54.7251579), (55.9063598, 54.7249669), (55.9061942, 54.7248011), (55.9060429, 54.7245877), (55.9060683, 54.7245111)]"
Паровозная улица,"[(55.9167225, 54.7290489), (55.9171623, 54.7289467), (55.9175692, 54.7288361), (55.9177226, 54.7287519)]"
"['улица Красина', 'улица Котовского']","[(55.9221253, 54.7346068), (55.9223352, 54.734966), (55.9224093, 54.7350804), (55.9225236, 54.7351623), (55.9226995, 54.7352924), (55.923106, 54.7354166), (55.9234735, 54.7353478), (55.923782, 54.7352549)]"
улица Пушкина,"[(55.9171224, 54.727127), (55.9173437, 54.7270254), (55.9176678, 54.72696), (55.9193955, 54.7265152)]"
Карьерная улица,"[(55.9051456, 54.7272561), (55.9028126, 54.7280235)]"
Карьерная улица,"[(55.9051456, 54.7272561), (55.9052686, 54.7272159)]"
Зилимская улица,"[(55.9051456, 54.7272561), (55.9052928, 54.7263379), (55.9054434, 54.7250396), (55.9055186, 54.7244117)]"
улица Нехаева,"[(55.9129133, 54.728997), (55.9138473, 54.7300368)]"
улица Нехаева,"[(55.9129133, 54.728997), (55.9126275, 54.7286824)]"
улица Марата,"[(55.9129133, 54.728997), (55.9126964, 54.7290253), (55.9119815, 54.7289221)]"
Слободская улица,"[(55.9238924, 54.7288115), (55.9234475, 54.7289758), (55.922759, 54.7291096)]"
Воронежская улица,"[(55.9039471, 54.7239537), (55.9055186, 54.7244117)]"
Воронежская улица,"[(55.9039471, 54.7239537), (55.9021098, 54.723431)]"
Щепетовская улица,"[(55.9039471, 54.7239537), (55.9035195, 54.724569), (55.9033646, 54.7249574), (55.9033141, 54.7251579), (55.9030082, 54.726351), (55.9029546, 54.7265644), (55.9026758, 54.7274837), (55.9027125, 54.7278183), (55.9028126, 54.7280235)]"
"['Татарская улица', 'Трактовый переулок']","[(55.9209485, 54.7249182), (55.9208272, 54.7249617), (55.9202424, 54.7250992), (55.9201169, 54.7251772), (55.9201596, 54.7253448), (55.9202568, 54.7255897)]"
Татарская улица,"[(55.9209485, 54.7249182), (55.9218809, 54.7247587), (55.9220571, 54.7247308)]"
Алтайская улица,"[(55.9209485, 54.7249182), (55.9208975, 54.7241323), (55.9208933, 54.7238866), (55.9209574, 54.7238272)]"
Воронежская улица,"[(55.9090138, 54.7250352), (55.9076524, 54.7247848)]"
